Project Title:,ONION MAGGOT/SPHERE STUDY 2007 - ELBA,,,,,,,,,,
Original Document: ,ONION MAGGOT SPHERE PLANT DAMAGE ELBA 2007.docx,,,,,,,,,,
,,,,,,,,,,,
acet_title:,om-spinosad-field-damage-trial-2007,,,,,,,,,,
Objective:,Determine efficacy of spinosad treated spheres in reducing onion damage,,,,,,,,,,
Method Brief:,White spheres with spinosad were placed in the field and onion maggot damage monitored in plots. ,,,,,,,,,,
Notes:,"Original data received from Nault lab in December 2018, placed into tabular form in this document in May, 2019",,,,,,,,,,
,,,,,,,,,,,
,Treatment #,Type of Fly Control,Delia Lure,,,,,,,,
,1,Positive control (insecticide treated),NO,,Note:  Several changes will be made to spheres for 2007 study,,,,,,
,2,Negative control (non-insecticide treated),NO,,1. a higher paraffin wax,,,,,,
,3,Sticky card,NO,,2. rodent guard included to retain porous matrix,,,,,,
,4,Sticky card,YES,,,,,,,,
,5,Spinosad-baited sphere,NO,,,,,,,,
,6,Spinosad-baited sphere,YES,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
plot,replication,treatment,initstnd,finlst,dam607,dam614,dam621,dam626,dam709,dam717,dam906
101,1,4,284,124,2,0,0,0,0,0,0
102,1,6,315,132,0,5,6,0,0,0,2
103,1,3,341,216,0,2,5,6,0,0,0
104,1,1,250,216,0,0,0,0,0,0,0
105,1,5,415,265,10,38,31,2,0,0,1
106,1,2,298,273,2,0,0,0,0,0,2
201,2,2,308,177,0,0,0,0,0,0,0
202,2,6,282,166,0,0,0,0,0,0,2
203,2,3,298,159,0,0,6,0,0,0,0
204,2,5,329,203,0,0,0,1,0,0,0
205,2,1,168,98,0,0,2,1,0,0,4
206,2,4,409,277,11,15,12,3,10,1,3
301,3,1,187,130,0,0,0,0,0,0,0
302,3,5,584,397,0,12,6,4,8,0,1
303,3,6,446,347,0,9,8,2,0,0,2
304,3,3,539,316,0,2,20,4,0,0,1
305,3,4,513,328,0,15,15,6,16,0,1
306,3,2,518,339,1,48,11,9,6,0,1
401,4,1,276,230,3,0,0,0,0,0,0
402,4,4,354,201,0,8,10,3,0,0,0
403,4,2,463,266,0,1,3,0,0,0,2
404,4,3,503,376,0,0,0,0,1,0,0
405,4,5,581,450,0,0,7,0,0,0,0
406,4,6,511,296,0,0,5,0,0,0,0
