Project Title:,ONION MAGGOT/INSECTICIDE-TREATED SPHERE TRIAL I 2008 - POTTER,,,,,,,
Original Document: ,FIELD CAGE STUDY PROTOCOL AND DATA - 2008.docx,,,,,,,
,,,,,,,,
acet_title:,om-spinosad-field-damage-trial-2008,,,,,,,
Objective:,Determine efficacy of spinosad treated spheres in reducing onion damage,,,,,,,
Method Brief:,White spheres with spinosad were placed in the field and onion maggot damage monitored in plots. ,,,,,,,
Notes:,"Original data received from Nault lab in December 2018, placed into tabular form in this document in May, 2019",,,,,,,
,,,,,,,,
,Trt #,"Treatment/Formulation1, 2, 3",,,,,,
,1,Non-insecticide control,,,,,,
,2,0.5% spinosad (2007 model),,,,,,
,3,0.5% spinosad + 5.0% ammonium carbonate and 5.0% casein hydrolysate (2008 model),,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
plot,replication,treatment,dam611,dam613,dam618,dam620,dam627,dam702
101,1,1,15,32,16,0,0,0
102,1,2,23,25,6,0,14,3
103,1,3,26,27,7,0,0,0
201,2,1,15,17,9,0,0,0
202,2,2,2,6,11,0,2,0
203,2,3,14,13,8,1,0,0
301,3,1,19,21,22,3,2,0
302,3,2,16,17,15,1,1,0
303,3,3,15,13,2,0,9,1
401,4,3,12,15,10,3,9,0
402,4,1,26,26,15,1,2,0
403,4,2,1,7,1,0,0,1
