Project Title:,ONION MAGGOT/SPINOSAD-BAITED SPHERE STUDY   FINAL - 2006,,,,,,,,,,,,,,,
Original Document: ,ONION_SPHERE_EFFICACY_PROTOCOL AND DATA_2006.docx,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
acet_title:,om-spinosad-lab-time-dose-trial-2006,,,,,,,,,,,,,,,
Objective:,Determine mortality and longevity of lethal effects of spinosad applied to white spheres on onion maggot mortality,,,,,,,,,,,,,,,
Method Brief:,"White spheres with different doses of spinosad were placed in the field for different times.  After period infield, spheres were placed into cages containing onion maggot and mortality monitored. ",,,,,,,,,,,,,,,
Notes:,"Original data received from Nault lab in December 2018, placed into tabular form in this document in May, 2019",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
plot,replication,treatment,rate,period,female_1,male_1,total_1,female_2,male_2,total_2,female_3,male_3,total_3,total_alive_female,total_alive_male,total
101,1,3,CK,JUN,0,0,0,0,0,0,0,0,0,5,5,10
102,1,1,HI,JUN,2,0,2,3,3,6,3,2,5,4,3,20
103,1,2,LO,JUN,1,3,4,1,1,2,1,2,3,6,5,20
104,1,10,HI,SEP,1,2,3,1,3,4,0,0,0,7,6,20
105,1,12,CK,SEP,0,0,0,1,0,1,0,0,0,3,6,10
106,1,11,LO,SEP,2,2,4,3,1,4,3,2,5,4,4,21
107,1,6,CK,JUL,0,0,0,0,0,0,0,0,0,5,4,10
108,1,5,LO,JUL,3,4,7,3,4,7,0,0,0,3,4,21
109,1,4,HI,JUL,1,1,2,2,5,7,0,1,1,5,5,20
110,1,9,CK,AUG,0,0,0,0,0,0,0,0,0,5,5,10
111,1,7,HI,AUG,5,3,8,1,2,3,3,3,6,4,1,20
112,1,8,LO,AUG,5,4,9,3,1,4,0,0,0,3,3,19
201,2,12,CK,SEP,0,0,0,0,0,0,0,0,0,5,5,10
202,2,11,LO,SEP,3,2,5,2,4,6,0,2,2,6,4,21
203,2,10,HI,SEP,3,3,6,0,0,2,0,0,0,8,7,23
204,2,7,HI,AUG,6,9,15,2,1,3,0,0,0,0,3,21
205,2,9,CK,AUG,0,0,0,1,0,1,0,0,0,3,6,10
206,2,8,LO,AUG,1,1,2,1,4,5,1,0,1,6,6,20
207,2,5,LO,JUL,4,3,7,3,2,5,0,1,1,4,3,20
208,2,4,HI,JUL,2,3,5,1,1,2,0,1,1,5,7,20
209,2,6,CK,JUL,1,1,2,1,4,5,0,0,0,6,6,19
210,2,2,LO,JUN,1,1,2,3,4,5,0,2,2,6,5,20
211,2,1,HI,JUN,3,0,3,3,4,7,0,2,2,6,3,19
212,2,3,CK,JUN,1,0,1,0,1,1,0,2,2,3,3,10
301,3,1,HI,JUN,1,0,1,3,2,5,4,2,6,6,2,20
302,3,2,LO,JUN,1,0,1,5,4,9,3,3,6,3,2,21
303,3,3,CK,JUN,0,0,0,1,0,1,0,0,0,8,11,20
304,3,6,CK,JUL,0,0,0,0,0,0,0,0,0,11,9,20
305,3,4,HI,JUL,3,1,4,3,3,6,2,1,3,4,4,21
306,3,5,LO,JUL,4,1,5,5,3,8,0,1,1,7,6,27
307,3,12,CK,SEP,0,0,0,0,0,0,0,0,0,9,10,19
308,3,10,HI,SEP,5,3,8,2,0,2,0,0,0,6,6,22
309,3,11,LO,SEP,2,3,5,2,4,6,0,2,2,4,3,20
310,3,8,LO,AUG,1,3,4,4,2,6,1,2,3,6,1,20
311,3,9,CK,AUG,0,0,0,0,0,0,0,0,0,3,17,20
312,3,7,HI,AUG,3,2,5,1,6,7,0,1,1,3,4,20
401,4,9,CK,AUG,0,0,0,0,0,0,0,0,0,9,11,20
402,4,7,HI,AUG,2,0,2,2,6,8,3,2,5,3,6,20
403,4,8,LO,AUG,2,1,3,1,3,4,0,0,0,10,3,20
404,4,4,HI,JUL,0,1,1,2,3,5,0,0,0,7,6,19
405,4,5,LO,JUL,3,3,6,0,3,3,0,0,0,6,5,20
406,4,6,CK,JUL,0,0,0,1,0,1,0,0,0,9,10,20
407,4,1,HI,JUN,2,0,2,6,8,14,0,1,1,0,1,18
408,4,2,LO,JUN,3,4,7,4,3,7,0,0,0,3,4,21
409,4,3,CK,JUN,0,0,0,0,0,0,0,0,0,11,9,20
410,4,10,HI,SEP,8,10,18,2,2,4,0,0,0,0,0,22
411,4,12,CK,SEP,0,2,2,0,0,0,0,0,0,8,10,20
412,4,11,LO,SEP,0,1,1,2,3,5,1,2,3,6,5,20
501,5,7,HI,AUG,1,1,2,3,3,6,0,1,1,5,5,19
502,5,9,CK,AUG,0,0,0,0,0,0,0,0,0,10,10,20
503,5,8,LO,AUG,3,4,7,1,0,1,0,0,0,6,5,19
504,5,2,LO,JUN,0,0,0,2,1,3,2,6,8,4,5,20
505,5,3,CK,JUN,0,0,0,0,1,1,1,0,1,7,11,20
506,5,1,HI,JUN,0,0,0,4,2,6,3,3,6,6,4,22
507,5,11,LO,SEP,1,0,1,1,0,1,0,1,1,6,9,18
508,5,10,HI,SEP,2,0,2,1,2,3,1,1,2,3,10,20
509,5,12,CK,SEP,0,0,0,0,0,0,0,0,0,13,8,21
510,5,6,CK,JUL,0,0,0,0,1,1,1,0,1,9,9,20
511,5,4,HI,JUL,1,1,2,1,1,2,1,0,1,8,8,21
512,5,5,LO,JUL,1,1,2,3,2,5,0,0,0,6,5,18
601,6,5,LO,JUL,3,1,4,1,1,2,1,1,2,7,5,20
602,6,6,CK,JUL,0,0,0,0,0,0,0,0,0,9,12,21
603,6,4,HI,JUL,1,2,3,2,1,3,1,0,1,3,9,20
604,6,12,CK,SEP,0,0,0,0,0,0,0,0,0,12,8,20
605,6,11,LO,SEP,3,1,4,2,1,3,0,1,1,8,4,20
606,6,10,HI,SEP,2,4,6,1,1,2,0,2,2,5,5,20
607,6,2,LO,JUN,2,3,5,4,3,7,3,2,5,0,3,21
608,6,3,CK,JUN,0,0,0,0,1,1,0,0,0,11,13,24
609,6,1,HI,JUN,0,2,2,2,4,6,1,0,1,5,6,20
610,6,8,LO,AUG,4,0,4,9,1,10,1,2,3,0,3,20
611,6,9,CK,AUG,0,0,0,1,1,2,0,0,0,9,8,20
612,6,7,HI,AUG,2,1,3,2,1,3,0,0,0,10,4,20
