Project Title:,ONION MAGGOT/SPINOSAD-BAITED SPHERE STUDY   LAB EFFICACY - 2007,,,,,,,,,
Original Document: ,ONION MAGGOT SPINOSAD-BAITED SPHERE LAB EFFICACY STUDY I 2007.docx,,,,,,,,,
,,,,,,,,,,
acet_title:,om-spinosad-lab-time-dose-trial-2007,,,,,,,,,
Objective:,Determine mortality and longevity of lethal effects of spinosad applied to white spheres on onion maggot mortality,,,,,,,,,
Method Brief:,"White spheres with different doses of spinosad were placed in the field for different times.  After period infield, spheres were placed into cages containing onion maggot and mortality monitored. ",,,,,,,,,
Notes:,"Original data received from Nault lab in December 2018, placed into tabular form in this document in May, 2019",,,,,,,,,
,,,,,,,,,,
plot,replication,treatment,female_1,male_1,female_2,male_2,female_3,male_3,total_alive_female,total_alive_male
101,1,UNT,0,0,0,0,0,2,10,8
102,2,UNT,1,0,1,0,0,0,8,10
103,3,UNT,0,0,0,0,1,0,9,10
104,4,UNT,0,0,0,1,0,1,10,8
105,5,UNT,0,1,0,0,1,1,9,7
106,6,UNT,0,0,0,1,2,1,8,8
107,7,UNT,0,0,1,0,0,1,9,9
108,8,UNT,0,0,0,0,1,0,9,10
109,9,UNT,0,0,2,0,1,0,7,10
110,10,UNT,0,0,1,0,0,0,9,10
201,1,JUN,0,0,1,0,1,1,8,9
202,2,JUN,0,0,1,1,2,1,7,8
203,3,JUN,0,0,0,0,2,0,8,10
204,4,JUN,0,0,0,1,0,1,10,8
205,5,JUN,0,1,1,1,1,2,8,6
206,6,JUN,0,0,1,1,2,2,7,6
207,7,JUN,0,0,2,1,0,0,8,9
208,8,JUN,0,0,0,0,0,1,10,9
209,9,JUN,1,0,1,1,2,1,6,8
210,10,JUN,0,0,0,0,0,1,10,9
301,1,JUL,0,1,1,0,1,0,8,9
302,2,JUL,0,0,1,0,2,1,7,9
303,3,JUL,0,0,0,0,0,0,10,9
304,4,JUL,0,0,1,0,2,1,7,9
305,5,JUL,0,0,2,1,1,1,7,8
306,6,JUL,0,0,0,0,0,1,10,9
307,7,JUL,0,0,0,0,1,1,9,9
308,8,JUL,0,0,1,1,3,1,5,10
309,9,JUL,0,0,0,1,0,1,10,8
310,10,JUL,1,0,1,0,1,1,7,9
401,1,AUG,1,1,2,1,0,0,7,8
402,2,AUG,0,0,0,0,0,2,10,8
403,3,AUG,0,0,0,0,0,0,10,10
404,4,AUG,0,1,0,1,0,0,10,8
405,5,AUG,0,2,1,1,1,0,8,7
406,6,AUG,0,0,0,0,0,0,10,10
407,7,AUG,0,1,0,0,0,2,10,7
408,8,AUG,0,0,1,1,0,1,9,8
409,9,AUG,0,0,0,0,1,1,9,9
410,10,AUG,0,0,0,1,1,0,9,9
501,1,SEP,1,1,0,0,1,0,8,9
502,2,SEP,0,0,0,0,1,1,9,9
503,3,SEP,0,1,0,0,1,2,9,7
504,4,SEP,1,0,2,1,2,1,4,6
505,5,SEP,0,1,1,2,0,1,9,6
506,6,SEP,0,0,0,1,2,2,8,7
507,7,SEP,0,1,1,0,1,1,8,8
508,8,SEP,0,0,0,0,0,1,10,9
509,9,SEP,0,0,0,0,2,0,8,10
510,10,SEP,0,1,0,0,1,0,9,9
